# Max Pain Friday Watchlist
# Strategy: max-pain-friday
# Generated: 2026-04-16 14:08:55
# Tickers: 312

IRM    # Price: $115.03 | Max Pain: $101.00 | Distance: +13.9%
FTNT    # Price: $80.31 | Max Pain: $93.00 | Distance: -13.6%
MSI    # Price: $441.77 | Max Pain: $510.00 | Distance: -13.4%
AMGN    # Price: $351.14 | Max Pain: $310.00 | Distance: +13.3%
MU    # Price: $458.83 | Max Pain: $405.00 | Distance: +13.3%
ALGN    # Price: $186.77 | Max Pain: $165.00 | Distance: +13.2%
GEV    # Price: $983.81 | Max Pain: $870.00 | Distance: +13.1%
ARM    # Price: $158.35 | Max Pain: $140.00 | Distance: +13.1%
IBKR    # Price: $78.73 | Max Pain: $70.00 | Distance: +12.5%
KR    # Price: $67.39 | Max Pain: $77.00 | Distance: -12.5%
SMCI    # Price: $27.01 | Max Pain: $24.00 | Distance: +12.5%
CL    # Price: $84.08 | Max Pain: $96.00 | Distance: -12.4%
HOOD    # Price: $84.18 | Max Pain: $75.00 | Distance: +12.2%
LLY    # Price: $913.71 | Max Pain: $815.00 | Distance: +12.1%
TRI    # Price: $95.20 | Max Pain: $85.00 | Distance: +12.0%
IEX    # Price: $201.39 | Max Pain: $180.00 | Distance: +11.9%
WAB    # Price: $257.47 | Max Pain: $230.00 | Distance: +11.9%
CME    # Price: $297.83 | Max Pain: $337.50 | Distance: -11.8%
FFIV    # Price: $301.98 | Max Pain: $270.00 | Distance: +11.8%
DASH    # Price: $178.70 | Max Pain: $160.00 | Distance: +11.7%
PSA    # Price: $300.67 | Max Pain: $270.00 | Distance: +11.4%
WST    # Price: $267.27 | Max Pain: $240.00 | Distance: +11.4%
AMZN    # Price: $244.77 | Max Pain: $220.00 | Distance: +11.3%
TGT    # Price: $122.39 | Max Pain: $110.00 | Distance: +11.3%
VMC    # Price: $289.32 | Max Pain: $260.00 | Distance: +11.3%
BK    # Price: $133.07 | Max Pain: $120.00 | Distance: +10.9%
BKR    # Price: $61.01 | Max Pain: $55.00 | Distance: +10.9%
PLD    # Price: $144.18 | Max Pain: $130.00 | Distance: +10.9%
LRCX    # Price: $262.96 | Max Pain: $237.50 | Distance: +10.7%
MAR    # Price: $365.26 | Max Pain: $330.00 | Distance: +10.7%
CVNA    # Price: $358.55 | Max Pain: $325.00 | Distance: +10.3%
HSIC    # Price: $77.18 | Max Pain: $70.00 | Distance: +10.3%
TEAM    # Price: $68.64 | Max Pain: $76.50 | Distance: -10.3%
COIN    # Price: $189.82 | Max Pain: $172.50 | Distance: +10.0%
APO    # Price: $120.85 | Max Pain: $110.00 | Distance: +9.9%
TTWO    # Price: $214.01 | Max Pain: $195.00 | Distance: +9.8%
JCI    # Price: $137.14 | Max Pain: $125.00 | Distance: +9.7%
NRG    # Price: $169.97 | Max Pain: $155.00 | Distance: +9.7%
TKO    # Price: $189.60 | Max Pain: $210.00 | Distance: -9.7%
MO    # Price: $65.06 | Max Pain: $72.00 | Distance: -9.6%
TT    # Price: $461.11 | Max Pain: $510.00 | Distance: -9.6%
WMB    # Price: $71.38 | Max Pain: $79.00 | Distance: -9.6%
C    # Price: $131.30 | Max Pain: $145.00 | Distance: -9.4%
KEY    # Price: $21.86 | Max Pain: $20.00 | Distance: +9.3%
PYPL    # Price: $49.17 | Max Pain: $45.00 | Distance: +9.3%
